attribute_group,label,value_text,source_ref,note
industry_insight,市场趋势,行业受集采、创新药审批、医保控费和院外渠道变化影响，研发与现金流质量需要同步观察。,AkShare cache,
industry_insight,所属行业,九州通 当前归属 医药商业。该字段来自 AkShare 个股公开信息，可作为轻量行业识别口径。,AkShare cache,
industry_insight,竞争格局,同板块可比公司包括：暂未取得稳定的同板块可比公司列表。后续可结合财报指标做更细的同业对比。,AkShare cache,
industry_insight,行业位置,暂未取得同板块成份股行情，先以公司行业字段和公开财报数据做初步判断。,AkShare cache,
listing_info,EPS,0.14,Qichacha manual capture,
listing_info,上市交易所,上海证券交易所,Qichacha manual capture,
listing_info,上市日期,2010-11-02,Qichacha manual capture,
listing_info,上市曾用名,-,Qichacha manual capture,
listing_info,上市板块,主板,Qichacha manual capture,
listing_info,募集资金净额,18.93亿,Qichacha manual capture,
listing_info,发行市盈率,65,Qichacha manual capture,
listing_info,发行总市值,19.5亿,Qichacha manual capture,
listing_info,发行总量,1.5亿股,Qichacha manual capture,
listing_info,发行方式,网下询价配售,Qichacha manual capture,
listing_info,定价中签率,0.64%,Qichacha manual capture,
listing_info,市净率,0.93,Qichacha manual capture,
listing_info,总市值,254.64亿,Qichacha manual capture,
listing_info,总经理,龚翼华,Qichacha manual capture,
listing_info,总股本,50.42亿,Qichacha manual capture,
listing_info,是否注册制,否,Qichacha manual capture,
listing_info,每股发行价,13,Qichacha manual capture,
listing_info,每股面值,1,Qichacha manual capture,
listing_info,法人代表,刘长云,Qichacha manual capture,
listing_info,流通值,254.64亿,Qichacha manual capture,
listing_info,流通股,50.42亿,Qichacha manual capture,
listing_info,独立董事,汤谷良、陆银娣、曾湘泉、王瑛、艾华,Qichacha manual capture,
listing_info,网上发行日期,2010-10-25,Qichacha manual capture,
listing_info,网下配售中签率,0.89%,Qichacha manual capture,
listing_info,股票代码,600998.SH,Qichacha manual capture,
listing_info,股票简称,九州通,Qichacha manual capture,
listing_info,董事长,刘长云,Qichacha manual capture,
listing_info,董秘,刘志峰,Qichacha manual capture,
listing_info,表决权差异,否,Qichacha manual capture,
listing_info,证券事务代表,张溪,Qichacha manual capture,
listing_info,预测市盈率,8.68,Qichacha manual capture,
listing_info,首日开盘价,18.25,Qichacha manual capture,
listing_info,首日换手率,83.29%,Qichacha manual capture,
