company_code,period_code,check_code,check_name,statement_scope,lhs_label,lhs_value,rhs_label,rhs_value,variance_value,variance_ratio,status,interpretation
002594.SZ,20231231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,679547670000.0,Total Liabilities + Shareholder Equity,679547670000.0,0.0,0.0,pass,Public balance-sheet totals should tie out.
002594.SZ,20231231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,57329288000.0,Operating + Investing + Financing,56878508000.0,450780000.0,0.007925,pass,Net cash flow should broadly reconcile to the three cash flow sections.
002594.SZ,20231231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,111407259452.61,Revenue - Operating Cost,111916409000.0,-509149547.39,0.004549,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
002594.SZ,20231231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,169725025000.0,Net Profit,31344070000.0,138380955000.0,5.4149,pass,Cash conversion below 0.8x or negative should trigger follow-up.
002594.SZ,20241231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,783355855000.0,Total Liabilities + Shareholder Equity,783355855000.0,0.0,0.0,pass,Public balance-sheet totals should tie out.
002594.SZ,20241231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,-6255203000.0,Operating + Investing + Financing,-5895956000.0,-359247000.0,0.060931,warn,Net cash flow should broadly reconcile to the three cash flow sections.
002594.SZ,20241231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,136303770607.0,Revenue - Operating Cost,151055839000.0,-14752068393.0,0.09766,warn,A loose bridge between disclosed gross margin and revenue-cost spread.
002594.SZ,20241231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,133453873000.0,Net Profit,41587940000.0,91865933000.0,3.209,pass,Cash conversion below 0.8x or negative should trigger follow-up.
002594.SZ,20251231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,883729883000.0,Total Liabilities + Shareholder Equity,883729883000.0,0.0,0.0,pass,Public balance-sheet totals should tie out.
002594.SZ,20251231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,-33861345000.0,Operating + Investing + Financing,-33713695000.0,-147650000.0,0.00438,pass,Net cash flow should broadly reconcile to the three cash flow sections.
