company_code,case_no,recommendation_status,suggested_amount_cny,suggested_term_months,suggested_rate_min,suggested_rate_max,guarantee_requirement,supplemental_requirements,note
002594.SZ,LISTED-002594,public_pack_only,,,,,,"If used in credit workflow, supplement shareholder, legal representative, and exposure structure from external enterprise data providers.",Listed-company sample imported from local AkShare cache and annual-report links.
600196.SH,LISTED-600196,public_pack_only,,,,,,"If used in credit workflow, supplement shareholder, legal representative, and exposure structure from external enterprise data providers.",Listed-company sample imported from local AkShare cache and annual-report links.
600519.SH,LISTED-600519,public_pack_only,,,,,,"If used in credit workflow, supplement shareholder, legal representative, and exposure structure from external enterprise data providers.",Listed-company sample imported from local AkShare cache and annual-report links.
600612.SH,LISTED-600612,public_pack_only,,,,,,"If used in credit workflow, supplement shareholder, legal representative, and exposure structure from external enterprise data providers.",Listed-company sample imported from local AkShare cache and annual-report links.
600998.SH,LISTED-600998,public_pack_only,,,,,,"If used in credit workflow, supplement shareholder, legal representative, and exposure structure from external enterprise data providers.",Listed-company sample imported from local AkShare cache and annual-report links.
COMP-001,DD-2026-001,conditional_approval,2200000.0,12,5.2,5.9,Controller and spouse joint guarantee; primary collection account control.,"Provide top three customer settlement slips, outsourced production explanation, and December tax reconciliation.",Main showcase case with manual review hold points.
COMP-002,DD-2026-002,approve,1800000.0,12,4.3,4.9,Controller joint guarantee.,Maintain settlement account visibility and submit semiannual SaaS renewal cohort summary.,High-quality benchmark borrower.
COMP-003,DD-2026-003,approve,2400000.0,18,4.7,5.2,Controller guarantee and movable asset charge registration.,Provide quarterly project acceptance report.,Low-risk equipment borrower with moderate project-cycle sensitivity.
COMP-004,DD-2026-004,conditional_approval,1700000.0,12,4.9,5.5,Controller guarantee and designated settlement account routing.,Provide latest project acceptance schedule and top customer receivable aging breakdown.,Medium-risk borrower pending supplemental data.
COMP-005,DD-2026-005,conditional_approval,1800000.0,12,4.9,5.6,Controller guarantee and assignment notice for top hospital receivables if feasible.,Refresh hospital project receivable aging and pending settlement notices.,Medium-risk service SME with public-sector collection drag.
