period_code,check_code,check_name,statement_scope,lhs_label,lhs_value,rhs_label,rhs_value,variance_value,variance_ratio,status,interpretation
2023FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,5917260.6,Total Liabilities + Total Equity,5917260.6,0.0,0.0,pass,Total assets should equal liabilities plus equity.
2023FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1119302.35,Ending Cash,1119302.35,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
2023FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,266553.24,Fixed Asset Delta + Depreciation,111739.11,154814.13,0.5808,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
2023FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,3092017.54,Gross Profit,3092017.54,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
2023FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,878732.73,Net Profit,788464.48,90268.25,0.1145,pass,Large gaps between profit and operating cash need working-capital explanation.
2024FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,7253632.71,Total Liabilities + Total Equity,7253632.71,0.0,0.0,pass,Total assets should equal liabilities plus equity.
2024FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1540863.75,Ending Cash,1540863.75,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
2024FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,364644.83,Fixed Asset Delta + Depreciation,102356.44,262288.39,0.7193,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
2024FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,3616061.21,Gross Profit,3616061.21,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
2024FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,696503.6,Net Profit,935921.72,-239418.12,0.2558,warn,Large gaps between profit and operating cash need working-capital explanation.
2025FY,bs_balance,Balance sheet equation,balance_sheet,Total Assets,8917841.32,Total Liabilities + Total Equity,8917841.32,0.0,0.0,pass,Total assets should equal liabilities plus equity.
2025FY,cash_rollforward,Cash roll-forward,cash_flow_statement,Beginning Cash + Net Increase,1868041.32,Ending Cash,1868041.32,0.0,0.0,pass,Cash flow statement roll-forward should fully tie.
2025FY,fixed_asset_capex,Capex versus fixed asset roll-forward,cash_flow_balance_bridge,Capital Expenditure,493486.0,Fixed Asset Delta + Depreciation,126410.21,367075.79,0.7438,fail,High variance suggests capex or fixed asset roll-forward needs manual support.
2025FY,gross_profit_bridge,Revenue minus COGS equals gross profit,income_statement,Revenue - COGS,4300378.0,Gross Profit,4300378.0,0.0,0.0,pass,Gross profit should bridge cleanly from revenue and cost.
2025FY,profit_to_operating_cash,Net profit to operating cash conversion,income_cashflow_bridge,Net Cash from Operations,719146.45,Net Profit,1127968.0,-408821.55,0.3624,warn,Large gaps between profit and operating cash need working-capital explanation.
