period_code,check_code,check_name,statement_scope,lhs_label,lhs_value,rhs_label,rhs_value,variance_value,variance_ratio,status,interpretation
20221231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,92311934461.19,Total Liabilities + Shareholder Equity,92311934461.19,0.0,0.0,pass,Public balance-sheet totals should tie out.
20221231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,582986689.87,Operating + Investing + Financing,573386444.95,9600244.92,0.016743,pass,Net cash flow should broadly reconcile to the three cash flow sections.
20221231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,10596971196.97,Revenue - Operating Cost,10948013456.28,-351042259.31,0.032064,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
20221231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,3986228156.04,Net Profit,2285532936.81,1700695219.23,1.7441,pass,Cash conversion below 0.8x or negative should trigger follow-up.
20231231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,92789102474.22,Total Liabilities + Shareholder Equity,92789102474.22,0.0,0.0,pass,Public balance-sheet totals should tie out.
20231231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,1148580315.49,Operating + Investing + Financing,1149589296.24,-1008980.75,0.000878,pass,Net cash flow should broadly reconcile to the three cash flow sections.
20231231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,11679228537.73,Revenue - Operating Cost,12110883608.21,-431655070.48,0.035642,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
20231231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,4747695757.88,Net Profit,2289661075.72,2458034682.16,2.0735,pass,Cash conversion below 0.8x or negative should trigger follow-up.
20241231,listed_bs_balance,Listed balance sheet equation,balance_sheet,Total Assets,102395867613.5,Total Liabilities + Shareholder Equity,102395867613.5,0.0,0.0,pass,Public balance-sheet totals should tie out.
20241231,listed_cashflow_bridge,Net cash flow bridge,cash_flow_statement,Net Cash Flow,-1008772484.68,Operating + Investing + Financing,-1008929291.89,156807.21,0.000155,pass,Net cash flow should broadly reconcile to the three cash flow sections.
20241231,listed_gross_margin_bridge,Gross margin consistency,income_statement,Revenue * Gross Margin,11421562026.83,Revenue - Operating Cost,11842082588.87,-420520562.04,0.035511,pass,A loose bridge between disclosed gross margin and revenue-cost spread.
20241231,listed_profit_cash_conversion,Profit to operating cash conversion,income_cashflow_bridge,Operating Cash Flow,3082502072.58,Net Profit,2786438947.55,296063125.03,1.1063,pass,Cash conversion below 0.8x or negative should trigger follow-up.
