company_code,period_code,inflow_total_cny,outflow_total_cny,net_flow_cny,average_daily_balance_cny,top_inflow_counterparty,top_outflow_counterparty,transaction_count,large_transaction_count,abnormal_fluctuation_flag,summary_note
002594.SZ,20240930,462071207040.0,439115947090.0,22955259950.0,54381887500.0,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
002594.SZ,20241231,714934258600.0,629226071050.0,85708187550.0,84245761880.0,Public disclosure aggregate receipts,Suppliers and financing cash outflows,180,18,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
002594.SZ,20250331,171931718560.0,169109620010.0,2822098550.0,96273515320.0,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
002594.SZ,20250630,361441567760.0,348232947360.0,13208620400.0,91622112060.0,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
002594.SZ,20250930,561629384720.0,550184451220.0,11444933500.0,98174579540.0,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
002594.SZ,20251231,781493309360.0,775777773010.0,5715536350.0,61848292540.0,Public disclosure aggregate receipts,Suppliers and financing cash outflows,180,18,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600196.SH,20240930,28438937882.67,26431772244.78,2007165637.89,11076533801.22,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600196.SH,20241231,37781820193.58,34820148695.63,2961671497.95,11089625167.12,Public disclosure aggregate receipts,Suppliers and financing cash outflows,180,18,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600196.SH,20250331,8666696973.55,7834205902.2,832491071.35,11247089482.51,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600196.SH,20250630,17953277301.62,16485234831.0,1468042470.62,10626172086.25,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600196.SH,20250930,27041914532.04,25000393975.9,2041520556.14,9412192533.4,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600196.SH,20251231,38328683728.3,34677497427.79,3651186300.51,10745467884.61,Public disclosure aggregate receipts,Suppliers and financing cash outflows,180,18,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600519.SH,20240630,76775071474.81,50871748734.1,25903322740.71,46609086615.27,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600519.SH,20240930,113272739215.41,78810575283.75,34462163931.66,49269491403.7,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600519.SH,20241231,160212544361.59,86140549735.11,74071994626.48,48622574824.65,Public disclosure aggregate receipts,Suppliers and financing cash outflows,180,18,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600519.SH,20250331,47327974537.07,39139128694.2,8188845842.87,42803377143.8,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600519.SH,20250630,83806261549.65,80770426763.56,3035834786.09,42348802187.88,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600519.SH,20250930,120431578464.09,94943906018.9,25487672445.19,42437507434.09,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600612.SH,20240630,37034385964.19,31900470988.71,5133914975.48,12195454284.78,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600612.SH,20240930,48375132829.19,42697408228.54,5677724600.65,10200474889.6,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600612.SH,20241231,52249446339.88,50351241003.57,1898205336.31,6685284478.77,Public disclosure aggregate receipts,Suppliers and financing cash outflows,180,18,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600612.SH,20250331,17879011209.41,13693397388.38,4185613821.03,13144427542.89,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600612.SH,20250630,30985609433.22,26222319529.34,4763289903.88,11019231334.36,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600612.SH,20250930,44310588411.17,41955886882.6,2354701528.57,8754211828.55,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600998.SH,20240630,73071957425.43,76007322262.17,-2935364836.74,13324898834.21,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,1,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600998.SH,20240930,108241414789.93,111029590993.08,-2788176203.15,13050353414.18,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,1,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600998.SH,20241231,154395406821.71,152494936442.74,1900470378.97,14259858162.74,Public disclosure aggregate receipts,Suppliers and financing cash outflows,180,18,0,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600998.SH,20250331,36461398432.82,40092735835.12,-3631337402.3,14017294718.76,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,1,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600998.SH,20250630,79544744795.16,82653877176.54,-3109132381.38,13844748115.35,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,1,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
600998.SH,20250930,120081752947.31,122743070613.49,-2661317666.18,14816283571.64,Public disclosure aggregate receipts,Suppliers and financing cash outflows,130,12,1,Public-company settlement proxy derived from cash flow statement and revenue disclosures.
COMP-001,2025-07,576000.0,454400.0,121600.0,268800.0,宁德新材装备股份有限公司,东莞市锐普陶瓷基板有限公司,18,4,0,Monthly settlement summary derived from seeded bank statement behavior.
