company_code,case_no,case_name,application_date,product_type,requested_amount_cny,requested_term_months,current_stage,decision_status,approved_amount_cny,loan_purpose,primary_repayment_source,guarantee_mode
COMP-001,DD-2026-001,Lynx Sensor revolving working capital review,2026-05-06,micro_enterprise_credit,3200000.0,18,report_review,manual_review_required,2200000.0,Sensor packaging line expansion and supplier payment smoothing,Collections from top industrial clients,controller_joint_guarantee
COMP-002,DD-2026-002,Yunheng SaaS credit review,2026-05-04,micro_enterprise_credit,1800000.0,12,committee_ready,recommended,1800000.0,Sales channel expansion and implementation payroll,Annual subscription renewals and implementation service collections,controller_joint_guarantee
COMP-003,DD-2026-003,Zhijian equipment project loan review,2026-05-03,micro_enterprise_credit,2600000.0,18,committee_ready,recommended,2400000.0,Working capital for project acceptance cycles,Project acceptance collections from electronics clients,controller_joint_guarantee_plus_equipment
COMP-004,DD-2026-004,Qimai energy IoT credit review,2026-05-02,micro_enterprise_credit,2100000.0,12,supplement_pending,pending,1700000.0,Deployment inventory and implementation staffing,System deployment collections and annual service fees,controller_joint_guarantee
COMP-005,DD-2026-005,Ruiqiao healthcare IT credit review,2026-05-01,micro_enterprise_credit,2300000.0,15,report_review,pending,1800000.0,Receivable turnover support for public hospital projects,Hospital project collections and maintenance service fees,controller_joint_guarantee
002594.SZ,LISTED-002594,比亚迪 public market data pack,2026-05-08,listed_company_public_pack,0.0,0,data_pack_ready,public_analysis_only,,Public-market benchmarking only,Not applicable,none
600196.SH,LISTED-600196,复星医药 public market data pack,2026-05-08,listed_company_public_pack,0.0,0,data_pack_ready,public_analysis_only,,Public-market benchmarking only,Not applicable,none
600519.SH,LISTED-600519,贵州茅台 public market data pack,2026-05-08,listed_company_public_pack,0.0,0,data_pack_ready,public_analysis_only,,Public-market benchmarking only,Not applicable,none
600612.SH,LISTED-600612,老凤祥 public market data pack,2026-05-08,listed_company_public_pack,0.0,0,data_pack_ready,public_analysis_only,,Public-market benchmarking only,Not applicable,none
600998.SH,LISTED-600998,九州通 public market data pack,2026-05-08,listed_company_public_pack,0.0,0,data_pack_ready,public_analysis_only,,Public-market benchmarking only,Not applicable,none
