company_code,period_code,declared_revenue_cny,invoiced_amount_cny,bank_receipts_cny,output_tax_cny,input_tax_cny,invoice_count,revenue_invoice_gap_cny,invoice_receipt_gap_cny,gap_ratio,status,check_note
002594.SZ,20240930,491201783136.0,494717542320.0,472116233280.0,63856231807.68,40278546217.15,86,7533769680.0,22601309040.0,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
002594.SZ,20241231,760006200990.0,765445918175.0,730476307700.0,98800806128.7,62320508481.18,120,11656536825.0,34969610475.0,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
002594.SZ,20250331,166612518144.0,167805041280.0,160138821120.0,21659627358.72,13662226487.81,86,2555406720.0,7666220160.0,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
002594.SZ,20250630,363112767144.0,365711733780.0,349004091120.0,47204659728.72,29775246905.81,86,5569214220.0,16707642660.0,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
002594.SZ,20250930,553807703988.0,557771562810.0,532289613240.0,71995001518.44,45412231727.02,86,8493983190.0,25481949570.0,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
002594.SZ,20251231,786277728924.0,791905483630.0,755727060520.0,102216104760.12,64474773771.77,120,12059474370.0,36178423110.0,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600196.SH,20240930,30231827444.84,30448210667.86,29057175662.73,3930137567.83,2479009850.48,86,463678335.04,1391035005.13,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600196.SH,20241231,40163717553.61,40451187924.65,38603164110.83,5221283281.97,3293424839.4,120,616007937.94,1848023813.82,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600196.SH,20250331,9213075695.8,9279017955.38,8855103429.5,1197699840.45,755472207.06,86,141304841.96,423914525.88,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600196.SH,20250630,19085114348.9,19221715371.85,18343565938.61,2481064865.36,1564979376.61,86,292716477.74,878149433.24,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600196.SH,20250930,28746730882.97,28952484580.5,27629782239.26,3737075014.79,2357231932.4,86,440900780.41,1322702341.24,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600196.SH,20251231,40745057267.69,41036688556.93,39161915983.26,5296857444.8,3341094695.95,120,624924191.22,1874772573.67,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600519.SH,20240630,81615239024.31,82199397176.83,78444094767.74,10609981073.16,6692449599.99,86,1251767469.7,3755302409.09,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600519.SH,20240930,120413846687.69,121275704486.07,115735190067.92,15653800069.4,9873935428.39,86,1846838139.38,5540514418.15,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600519.SH,20241231,170312900419.17,171531908908.88,163695425760.75,22140677054.49,13965657834.37,120,2612161049.37,7836483148.13,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600519.SH,20250331,50311694670.93,50671798825.01,48356843548.74,6540520307.22,4125558963.02,86,771651758.76,2314955276.27,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600519.SH,20250630,89089699777.78,89727356115.66,85628136800.73,11581660971.11,7305355381.78,86,1366406438.31,4099219314.93,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600519.SH,20250930,128024004062.91,128940331290.36,123049656256.79,16643120528.18,10497968333.16,86,1963558344.52,5890675033.57,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600612.SH,20240630,39079787912.2,39359500095.62,37561350345.06,5080372428.59,3204542608.8,86,599383250.19,1798149750.56,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600612.SH,20240930,51424869464.07,51792941126.9,49426766151.56,6685233030.33,4216839296.05,86,788724991.78,2366174975.34,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600612.SH,20241231,55543433174.35,55940983309.54,53385303869.01,7220646312.67,4554561520.3,120,851893146.85,2555679440.53,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600612.SH,20250331,17135845473.75,17258494674.48,16470035526.92,2227659911.59,1405139328.85,86,262819715.86,788459147.56,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
600612.SH,20250630,32622022197.1,32855513153.52,31354499862.24,4240862885.62,2675005820.16,86,500337763.76,1501013291.28,0.045,pass,Listed-company tax and invoice proxy built from public revenue and cash-receipt disclosures.
